State,District,Latitude,Longitude,District code,Population,ST,SC,Workers,Male_Workers,Female_Workers,house_electricity,house_internet,Graduate_Education,sex_ratio,literacy_rate,Muslim_rate,Non_Muslim_rate
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,0,557504,499822,412506,87316,319930,13747,93618,104.04967797028684,75.61326715512487,1.455227290632632,63.073694162136604
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,0,854444,774472,639484,134988,446200,39082,162965,109.23635440999868,73.96719532820627,1.3782429715671571,63.56379268687403
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,0,276707,284165,235562,48603,161206,9732,48221,109.63181838053578,70.72983728507498,1.2500490696396325,41.23370887964199
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,0,923358,1284822,1053600,231222,703624,58589,272280,114.52508794100027,73.17564985556224,2.2211716849985095,42.941271126540165
Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,0,258878,328512,230739,97773,140099,2673,27461,113.2162019173506,55.025586196055606,1.347838456851631,20.336316549117832
Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,0,363417,359172,292379,66793,183396,7897,37417,111.93931370337104,63.057145095235136,0.9428107167892213,15.909077214470358
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,0,381554,335326,272699,62627,166585,4571,36905,111.57659158194026,58.19384940170485,0.48043233366153076,28.264899722362667
Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,0,465359,660267,549661,110606,352929,24274,141947,112.24388802056508,66.82493830729351,2.1123223993847082,41.320450749754976
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,0,180905,233676,186910,46766,129123,6600,38823,109.27517714020212,73.43137211941685,2.1167730749736715,44.47399825014205
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,0,461609,568758,485129,83629,305557,10736,73636,112.9820881694418,60.54227695177955,10.821613986245513,23.526902690903466
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,63482,478027,1053722,686149,367573,393498,13499,172683,105.17233573239014,59.10345591184382,12.162318064057557,85.23494687679536
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,289249,653036,1708542,994171,714371,485723,9750,222622,111.74956905817528,59.40037216477477,14.896797352551413,82.71994913693645
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,1372999,80091,916574,482236,434338,120603,2324,47094,102.02566843236889,46.13907765572453,2.7167959676993134,94.64524043316078
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,276857,221184,552583,329754,222829,161310,1363,49939,107.66546084475468,56.70040196114512,6.5412940450049275,92.68815093784119
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,176257,436414,1202482,696240,506242,126494,2766,39533,110.87631374981879,45.63884949060029,12.335741781760238,86.21723044945541
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,54090,557305,1071154,647198,423956,288723,4179,132571,113.66522013253561,58.108341423179944,14.569022414303214,84.09173846814275
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,229273,407947,1148165,674589,473576,373644,6207,106667,102.77398220387998,52.15337366510513,5.913458165024789,92.37358331226233
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,7779,493646,986208,640572,345636,220793,7607,101714,110.4764694569491,54.09623860534354,9.972389281101822,87.70775194093582
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,228549,210788,526091,314806,211285,136969,1392,41052,108.13383144791717,52.66368171564471,5.995916846249818,91.6088309902008
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,201546,250224,802755,456632,346123,268172,4941,67155,102.89082422122873,53.215358295917085,6.336371960024295,91.50606926722
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,11245,451721,902829,541404,361425,231696,2577,77282,106.41078189375376,56.34922852966859,12.244679823509829,87.17028830421657
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,433344,354337,684495,398151,286344,195277,1719,90833,110.45103023092315,57.39389589753849,2.7831466909445557,96.81389419661785
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,58594,245695,523212,339110,184102,96086,1330,37856,118.22818787090613,56.617400846735556,5.988979839471669,93.45255263916931
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,983437,52267,641515,346624,294891,141275,1477,39312,100.65200427733303,49.086458411352254,2.064164683785699,96.50808900206835
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,13477,720412,912672,596320,316352,283142,6295,104071,112.69263837343438,60.6013808877658,2.5740820488653076,72.98229506065506
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,14289,494189,835260,512802,322458,243163,3360,84185,110.3942108432878,58.271294399253506,6.686963146281158,80.75018087645631
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,527966,1003302,2464893,1714947,749946,990085,76565,703673,109.84383743588234,64.90868491610095,10.37478920729265,87.83313699088676
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,42429,99134,288903,182565,106338,43141,754,10604,117.3572649905422,46.07318198170226,25.09691470162811,74.19479071350416
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,178719,357196,896644,494906,401738,161845,1585,25210,104.99251201664394,45.36383173021715,4.3193910528071395,94.7571265304337
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,182229,243582,685950,402825,283125,220428,1750,47985,105.70813398524169,52.42554011716859,6.814685262651395,92.10717092484103
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,41629,360709,894649,541392,353257,297559,4828,158936,105.25832517728011,64.12405915645202,10.677266973788573,89.17369545330118
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,118924,608024,1489741,965103,524638,408808,19335,177199,109.11340903123063,55.09739867893083,11.161908946304274,87.44927335771521
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,324960,354465,628726,371058,257668,132079,1059,67639,116.16195455441596,55.26145072717398,5.592532957357048,94.01535266977908
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,183816,405408,748811,534650,214161,339899,12843,167778,109.81961664908324,66.5471903328218,12.505958440072702,85.15095227404827
